id,phrase,nbsyllabe
1,Le chat,2
2,La chatte,2
3,Les chats,2
4,Les chattes,2
5,Un chat,2
6,Une chatte,2
7,Des chats,2
8,Des chattes,2
9,Manger,2
10,Abattre,2
11,Absinthe,2
12,Abeilles,2
13,Barbouzes,2
14,Barbouze,2
15,Hélas,2
16,Éteint,2
17,Éteinte,2
18,Éteints,2
19,Éteintes,2
20,Pourquoi,2
21,Comment,2
22,Surtout,2
23,L avion,2
24,Ils ont faim,3
25,Tu as faim,3
26,Il a faim,3
27,Ce beau chat,3
28,Qui voilà,3
29,Le beau chat,3
30,Brocolis,3
31,L hiver vient,3
32,"Demain, pars",3
33,Pourquoi pas,3
34,Que dis tu,3
35,Joliment,3
36,Ne pars pas,3
37,Quelle belle femme,3
38,Cette belle femme,3
39,Quel bel homme,3
40,Ce bel homme,3
41,"Malin, beau",3
42,"Jolie, belle",3
43,Très joli,3
44,Très jolie,3
45,Tout à fait,3
46,L ironie,3
47,Le navire,3
48,Oh ! Tu sais,3
49,Oh ! Ils savent,3
50,"Hélas, pars",3
51,Sache que j aime,3
52,Il saura,3
53,Elle savait,3
54,Ils corrigent,3
55,Elles corrigent,3
56,Effrayé,3
57,Effrayée,3
58,Effrayés,3
59,Effrayées,3
60,Ça va bien,3
61,Pas si vite,3
62,Savais tu,3
63,Demain est loin,4
64,Les orchidées,4
65,Des orchidées,4
66,Une orchidée,4
67,Nous avons faim,4
68,Vous avez faim,4
69,Abandonner,4
70,Badigeonner,4
71,Actualités,4
72,Admirateur,4
73,Admirateurs,4
74,Admiratrice,4
75,Admiratrices,4
76,Je présentais,4
77,Tu présentais,4
78,Il présentait,4
79,Nous présentions,4
80,Vous présentiez,4
81,Ils présentaient,4
82,Le brocoli,4
83,Les brocolis,4
84,Un brocoli,4
85,Des brocolis,4
86,La scolopendre,4
87,Les scolopendres,4
88,Une scolopendre,4
89,Des scolopendres,4
90,Le chat vaincu,4
91,La chatte vaincue,4
92,Les chats vaincus,4
93,Les chattes vaincues,4
94,Un chat vaincu,4
95,Une chatte vaincue,4
96,Des chats vaincus,4
97,Des chattes vaincues,4
98,Mais pourquoi pas,4
99,Au fond là bas,4
100,Beurk un chasseur,4
101,Beurk une chasseuse,4
102,Beurk des chasseurs,4
103,Beurk des étoiles,4
104,Beurk le chasseur,4
105,Beurk la chasseuse,4
106,Beurk les chasseurs,4
107,Beurk les étoiles,4
108,Cheveux d argent,4
109,Le torrent fougueux,5
110,Doucement vécu,5
111,Le chat est joli,5
112,Les chats sont jolis,5
113,Il sait se faire beau,5
114,Ils savent se faire beaux,5
115,Doucement il part,5
116,Doucement elle part,5
117,Demain il verra,5
118,Demain elle verra,5
119,L avenir est loin,5
120,Bien devant nos vies,5
